ugc_id,created_user_id,comment_text
4433,38901,"""Legally their name is Mr. and Mrs. __________ and the invitation should be addressed as such.""

That doesn't sound right.  Legally, name change paperwork is a separate process from getting a marriage certificate.  If a bride didn't fill out the separate paperwork to change her name, legally, her name remains the same.  From what I've seen, and I'm no expert, courthouses will usually include the paperwork for a name change in case one or both couples would like to change their name while the couple is getting their marriage certificate--but that doesn't mean that once they're married their name automatically changes.

All of that said... I would stick with Mr. ____ and Ms. ____.  I don't know if that's proper etiquette, but it certainly indicates respect on your part for the name decision of each party."
4377,38901,"Of course, this doesn't help you now... sorry... but we sent our ""mark your calendar"" reminders with our holiday greetings.  Two birds with one stone.  To cut costs further--and this may be seen by some as too informal--we made our holiday greeting correspondence a postcard.  Less postage that way.  

Just remember to ""household"" your guests as you gather how many cards you need--we printed about twice as many postcards as we needed!  : )   Good luck!"
4499,38243,"I am getting married in 2/2009 and my fiance and I have planned for a black and white wedding.  The bridesmaids will wear black and carry red flowers.  The flower girl is wearing black and white.  I, as the bride, with be in white.  I think it will be appropriate.  My mom love's the idea.  I think it willl be great.  Also, I have all ""sized"" b-maids too so I'm comfortable with them each choosing the dres they feel comfortable in as long as the fabric comes from the same lot (otherwise it will show in pics).  Great choice.  Good Luck!"
4502,39393,"A recent study shows that the average bride expects a gift worth at least $50. Hope this helps :) 

Happy New Years!
Parris"
4518,26876,"I would not agree to it, and would reconsider marrying. I think that there is a deeper issue here. I wouldn't be able to marry someone who does not trust me. I don't think a polygraph test would stregthen our relationship, because how can my partner trust a machine over me? If machine seems more trust worthy than me than there is a big problem! Besides if I take it today, will my partner want me to take one every time they doubt me? If you can't trust me today, you can't trust me at all, thats how I see it. Good luck to you and hopefully you make the right choice for you."
4520,26876,"if you haven't done so, you can write each other songs and sing them or have someone sing them for you during the ceremony, or reception. A Friend of mine did that and she sang it during the ceremony, it was very romantic and just sweet and brave of her to do."
4518,18635,"One thing that the previous posters didn't comment on, that is key....In your post you said ""Your fiance has GOOD reason to believe you are cheating""  That says a lot.  But then you also say you know you did not cheat.  This is a really tough situation.  Their really needs to be a reassessment done of this relationship.  Polygraph...I say NO.  Premarital counseling...YES!  There is no way a polygraph could strengthen the relationship.  It would only add a false sense of security and trust.  
Hope this helps."
4480,39393,"Hi Petunia,

Sometimes us photographers get carried away in the moment :( I'm sorry that this happened to you. A fun suggestion if your in-law lives close by is to have a special daughter/ mother in-law session. Find a good portrait/lifestyle photographer who can take you for a ""girls day out"". Travel to your favorite stores, go the park, the garden, the aquarium....get creative. Plus, you may actually have a really good time!

Happy New Years
Parris"
4549,30237,"No, you don't need to.  However, finding a good travel agent who specializes in destination weddings in your area (or the area where most of your guests will be coming from) will help them to keep the costs down.

Please visit http://www.myweddingagent.com to find someone to help you.  If you don't hear from anyone, please feel free to contact me for any needed help (I am reachable in Atlanta on a toll-free line, 888.248.8206)

Best wishes and kind regards,

Naomi Watson
All About Honeymoons
Destination Wedding Specialist"
4554,21407,"No- none of your bridesmaids have to be married. The one that stands up for you, eg. the closest one you make as your maid of honour or matron of honour- here is the difference. If they are single, they are considered the maid of honour, if married, they are the matron of honour. The rest are your bridesmaids, junior bridesmaid, or flowergirl, depending on who is in your wedding party.  Same goes for the men.  The best man, is just that, whether married or not. "
968,39625,"I'm sending mine to http://madamepaulette.com/services-bridal.php, Madame Paulette in NY, I've sent her tons of my evening gowns and they come back beautifully. My fiance has gotten our contractor to build a special enclosed corner in our walk in closet for me to put my wedding dress on display (we purchased a model/bodice..and got appropriate lighting so it doesn't damage the dress) so it will sit behind glass casing for me to admire.
You may want to preserve the memories of that day, so check Madame Paulette."
1926,39625,"I actually used GoSmile, and I LOVED IT!!!
http://www.saksfifthavenue.com/main/ProductDetail.jsp?PRODUCT%3C%3Eprd_id=845524446131839&FOLDER%3C%3Efolder_id=282574490295799&ASSORTMENT%3C%3East_id=1408474399545537&bmUID=1197171891915
The three steps are totally easy and convenient. The package comes with everything you need, and is much safer than other at home whitening kits.
Awesome part is you only have to use it for 7 days and there's no disgusting taste."
4547,39625,"Groom's cakes are always fun, not required but fun. Chose a flavor and theme, a hobby he enjoys is always a great idea. 

This is what I found: Traditionally, a groom's cake was sliced and boxed for the unmarried girls attending the wedding to take home and place under their pillows in hopes that the man they dreamed of would be their future husband.
"
4560,4007,"Sigh! Some people should listen to their mothers!(e.g. eat what is ioffered to you!) I have lots of food allergies, so I understand where she is coming from BUT, as a guest, its my job to eat what I'm able to, and be charming and good company to my host and hostess. If there is nothing I am able to eat, then I don't eat (but get something before or afterward.) Unfortunately, it doesn't even sound like she's allergic -just picky. Any french restaurant is likely to serve chicken, but it won't be plain (as is coq au vin, cassoulet etc., game hen)and iceberg lettuce is back in style. She should be able to find something. I would suggest you simply say, ""Oh, I'm sorry but that is the menu we selected for our special day. You're welcome to join us for dinner or just dessert if that works better for you."" She can choose at that point what she chooses to do. "
4560,39625,"Thank you for the suggestion. Being raised in a five star fine dinning french restaurant, my palate is always adventurous. Unfortunately this is a 7 course dinner, where nothing on the menu is to her taste(I've shown her the menu and she practically vommited). So I've decided I will not pay for someone to sit in a chair and not eat. I'm meeting her this weekend to let her know she's welcome to come for dessert and champagne, or to the rehearsal dinner and the brunch the day after the wedding."
4411,11213,"I'm a mother in law.  When my son was married the bride included me with everything.  Sometimes the groom's mom is left out of things.  She should be thankful that you have included her.  Maybe she's the kind that if you didn't include her she would complain about that too.  It's hard to make everyone happy.  "
4558,11213,"I know it's a lot of planning that you're doing but I think it's really nice of you to do all that in different locations.  Most people would have it one place & who comes, comes.  i hope your guests & family appreciate all that your doing. Good luck!"
4518,11213,"I agree with Christina.  I would never take the test.  If my word isn't enough, too bad.  I have never cheated or even been close. I've been married 32 years.  Sometimes it gets worse after you get married & he will become more suspecious.  It could be a very hard thing to live with. "
4373,38504,"You may consider attending the bridal show on Jan 13, 2008 at the Queen Mary in Long Beach.  The cost to attend is $4 in advance or $5 at the door.  

If you decide to attend, drop by my booth and say hi.  Hope this helps!


Passion Parties by Bernadette
www.bopinka.yourpassionconsultant.com"
4204,12233,"I am going through this same dilemma. I am personally not a kid person and get annoyed easily. My fiance and I are thinking about having a babysitter for the hour or so of the ceremony only. The only issue is to be able to find someone that will babysit for only one hour. Hope this helps a bit. "
3522,38504,"I would love to offer my services for bachelorette parties or bridal showers.  Also, I have bridal registry available.

Passion Parties by Bernadette
www.bopinka.yourpassionconsultant.com
bopinka@yahoo.com"
4621,18635,"Just a thought here...you are concerned about uneven sides but also about your sister and alterations.  Is your sister your MOH or Bridesmaid?  My thought, if she is trying so hard NOT to spend any money at all give her the option of bowing out gracefully.  This means you would have your MOH and balance things out a little more.  "
4620,18635,"If your sister's dress fits poorly than she needs to have alterations done.  It comes to a point that you and your fiancee have to stop and think about enjoying the planning and the actual day of your wedding.  It is NOT your obligation to bend and flex for everyone.  As I mentioned in another post of yours, consider giving your sister the option of not being in the wedding if it is really burdensome for her.  

My sister and I had to talk about what expectations I may have as well as how many trips from NY to MD she'd need to make.  This all took place prior to her accepting.  In order to avoid problems down the road this was neccesary.  

Let her know you understand the finacial burden and that you would understand if she could not be in your wedding.  You can also ask for assistance with planning and other things as a substitue to being a bridemaid.  She can do a poetry reading in honor of you.  The options are endless.  "
4480,39825,"Both photographers have given you great advice.

There is so much that happens at weddings, that this is the one part that I require my clients to do a little homework on. There are no typical picture groupings anymore when it comes to formals  - and most clients of mine these days seem to shy away from formals, so within less than 15 minutes, we wrap up formals with  - Bride & Groom, B&G with wedding party (sometimes just girls and one with just guys), B&G with parents (each side) and B&G with each side of the immediate family.

I typically have the bride put together a list of less than 15 groupings and give that to my assistant. I usually ask the bride or the planner to help wrangle the group together.

Formals are quickly becoming less of a focal point for clients, so just explain to your mom that you did not provide a list to the photographer and take the advice of the other two - plan a special session and have some relaxed images created for her. I am sure she will love it!"
55,22139,"I sell lia sophia jewelry and have had a number of hostesses who purchased jewelry items for their bridesmaids. For example, one hostess bought beautiful cz heart necklaces for all her bridesmaids that they could wear with their dresses and then keep after the wedding. Just something to think about."
4558,39914,"Wow, a cousin of mine had the same situation. Instead of the three weddings, she had the main wedding videotaped and sent it to her family and friends across the USA. Then, she had to reception parties in two different places...one in MD and the other in CA. It worked well...and she didn't have to worry about all the wedding stuff in three different places. "
4453,39914,"Wow, did you pick her to be your bridesmaid in the first place? If so, there was something that made you want her to be in the wedding. However, as a to-be bride, you're entitled to change your mind. If you feel or think you will feel uncomfortable as your day approaches, let your to-be fiance know and then let the woman know. Question, what bothers you know or what do you think will happen? Remember, he's marrying you...not her. This is the time for you to be happy...if she hasn't come between you in the past, I really wouldn't worry about it now. You need to have a beautiful face when you walk down that aisle. I hope this helps. :-)"
