ugc_id,created_user_id,ugc_name,description_text,tag_text
4547,38243,"What are the opinons and customs surrounding a groom's cake?","I would love to surprise my finace with a groom's cake at our wedding.  What are the traditions surrounding this?","Etiquette and Advice"
4547,38243,"What are the opinons and customs surrounding a groom's cake?","I would love to surprise my finace with a groom's cake at our wedding.  What are the traditions surrounding this?","Style and Decor"
4548,39435,"Has anyone here bought their dress from Bridalonlinestore.com????","I found my favorite dress on this site. So if anyone knows if this site is reliable, please let me know!!! Thank You!!!","Beauty and Attire"
4548,39435,"Has anyone here bought their dress from Bridalonlinestore.com????","I found my favorite dress on this site. So if anyone knows if this site is reliable, please let me know!!! Thank You!!!","Fun Stuff"
4548,39435,"Has anyone here bought their dress from Bridalonlinestore.com????","I found my favorite dress on this site. So if anyone knows if this site is reliable, please let me know!!! Thank You!!!","Style and Decor"
4549,37504,"do i have to pay for travel and hotels for the people i ask to be in my wedding?","since we are having a destination wedding do i need to pay for the travel and hotel for my flower girl and her family? or even for the other people in my wedding?","Etiquette and Advice"
4549,37504,"do i have to pay for travel and hotels for the people i ask to be in my wedding?","since we are having a destination wedding do i need to pay for the travel and hotel for my flower girl and her family? or even for the other people in my wedding?",Honeymoon
4556,37859,"ceremony and reception","we are having a western themed wedding and i have no clue as to what i am doing. I am planning this pretty much by myself with little help. out colors are blue, white and yellow. it will be at the end of march and its coming up quick. i have no clue as to what happens during the ceremony nor reception. never been to a wedding. i have my invitations printed and ready to go have my flowers picked out have our venue reserved and paid for. we are still trying to find an officiant, which i figure will help out with what all happens when during the ceremony. please help",Planning
4558,39625,"My 3 Weddings (to the same wonderful man)","You must all be thinking, WHAT? Let me explain. I'm from Ottawa, Canada, my husband is from MO USA, we live in Cincinnati and we've taken on something that will surely brand us with insanity. haha..I get dizzy thinking about all this. So here I am trying to accomodate everyone, his family, mine and us..we are having 3 weddings in three different places.
#1:June 27th 2008 Cincinnati OH (It's a private immediate family wedding) Very chic reception! (My fav wedding)
# 2:July 19th 2008 Lancaster MO (His family) Church Wedding, Garden Reception
#3:August 2nd 2008 Ottawa Canada (My family) A formal brunch reception (in my wedding dress) so the guests can meet the Mr. & Mrs.
To top it all off I have two recently engaged cousins planning weddings for this summer.
Tell me what you all think, let's start a discussion about the insanity. And check out www.mrandmrsvandike.com ;)",Planning
4559,35247,"Good Baltimore Area DJ","Is it possible to get a good DJ from around the Baltimore area that is reliable for $1000.00 or even less?? Does anyone have any suggestions?","Fun Stuff"
4560,39625,"The worst guest in the world.","I hope none of you ever have to deal with this. My fiances best friend has a lovely wife...or at least that's what I thought, till I discovered how picky she is. We are having our wedding at a gorgeous glam restaurant, and she has decided to tell me that I need to accommodate her, I'm trying. She will only eat Iceberg lettuce because it doesn't have veins (whatever that means) and she only ONLY eats chicken. This restaurant does not serve chicken, it's a French restaurant. We were told that they could accommodate her with a vegetarian meal, but she only eats iceberg lettuce, broccoli (in cheese) and carrots with ranch. How do I get her to only join us for champagne and dessert (since our entire wedding is 3 1/2 hours of dinning). ",Planning
4601,39752,"Outside Wedding for October in PA area","I just got engaged on Christmas!  My fiance and I live in York, PA and are set on having an outside wedding.  We are looking at a garden setting or a winery for October 08.  We don't have a budget set yet, but will be looking on a ""less is more"" budget.  I don't mind a little travel for a cheaper, better ceremony/reception site.  Any advice?","Fun Stuff"
4601,39752,"Outside Wedding for October in PA area","I just got engaged on Christmas!  My fiance and I live in York, PA and are set on having an outside wedding.  We are looking at a garden setting or a winery for October 08.  We don't have a budget set yet, but will be looking on a ""less is more"" budget.  I don't mind a little travel for a cheaper, better ceremony/reception site.  Any advice?",Planning
4615,38006,"Does anyone know how to print addresses (mail merge) on all Wedding envelopes?","I wanted to print our return address as well as the formal address to all guests on their envelopes.  I didn't know if there is a way to do it from this site weddingwire.come or if I can do it from excel or if their is another way to do them cheap or free (and must look professionally done).
Thanks so much!",Planning
4620,12233,"Bridesmades and their alterations","My sister is looking to get her dress from June's (a cheaper place to buy dresses, but they come in generic sizes). She does not want to spend money on dress alterations, but the dresses do not fit like I would like them to. Is there any way to address this problem to her. I am currently not working and my fiance and I have an extremely tight budget. So we cannot afford to pay for the alterations for her.

Does she absolutely ""need"" to have alterations? Or am I just being too picky? Any thoughts would be greatly appreciated. Thank you!","Beauty and Attire"
4620,12233,"Bridesmades and their alterations","My sister is looking to get her dress from June's (a cheaper place to buy dresses, but they come in generic sizes). She does not want to spend money on dress alterations, but the dresses do not fit like I would like them to. Is there any way to address this problem to her. I am currently not working and my fiance and I have an extremely tight budget. So we cannot afford to pay for the alterations for her.

Does she absolutely ""need"" to have alterations? Or am I just being too picky? Any thoughts would be greatly appreciated. Thank you!","Fun Stuff"
4620,12233,"Bridesmades and their alterations","My sister is looking to get her dress from June's (a cheaper place to buy dresses, but they come in generic sizes). She does not want to spend money on dress alterations, but the dresses do not fit like I would like them to. Is there any way to address this problem to her. I am currently not working and my fiance and I have an extremely tight budget. So we cannot afford to pay for the alterations for her.

Does she absolutely ""need"" to have alterations? Or am I just being too picky? Any thoughts would be greatly appreciated. Thank you!",Planning
4621,12233,"Uneven sides...","Would it be strange to have my MOH, one bridesmade, and one jr brides made on my side and only one Bestman (no groomsmen) on his side? Or do you think that I should split up my bridesmades to even everything out?","Etiquette and Advice"
4621,12233,"Uneven sides...","Would it be strange to have my MOH, one bridesmade, and one jr brides made on my side and only one Bestman (no groomsmen) on his side? Or do you think that I should split up my bridesmades to even everything out?","Fun Stuff"
4621,12233,"Uneven sides...","Would it be strange to have my MOH, one bridesmade, and one jr brides made on my side and only one Bestman (no groomsmen) on his side? Or do you think that I should split up my bridesmades to even everything out?",Planning
4623,12233,"Mother not involved at all!","I have two questions:
My mom has always talked about wanting to see at least one of her daughters married before she passes away. My other two sisters got married behind my parent's backs. Anyways, now that I am going to be married, she just doesn't seem to care. 
My Fiance's parent's are paying for 1/2 the wedding. So my question is should I include my parents in the wedding invitation? They are not helping at all, not even with calling relatives. 

Another question is:  
My mom has no style and will most likely wear jeans, a stained shirt, and a broach (no undergarments either..ew). I am very concerned about her being in my pictures! How can I hint at wearing nicer clothing without completely offending her? This is a really embarrasing matter!","Beauty and Attire"
4623,12233,"Mother not involved at all!","I have two questions:
My mom has always talked about wanting to see at least one of her daughters married before she passes away. My other two sisters got married behind my parent's backs. Anyways, now that I am going to be married, she just doesn't seem to care. 
My Fiance's parent's are paying for 1/2 the wedding. So my question is should I include my parents in the wedding invitation? They are not helping at all, not even with calling relatives. 

Another question is:  
My mom has no style and will most likely wear jeans, a stained shirt, and a broach (no undergarments either..ew). I am very concerned about her being in my pictures! How can I hint at wearing nicer clothing without completely offending her? This is a really embarrasing matter!","Etiquette and Advice"
